Timesteps,Episode Length
10000,468.6666666666667
20000,458.0
30000,439.30434782608694
40000,471.5238095238095
50000,455.8181818181818
60000,483.2857142857143
70000,472.3809523809524
80000,472.76190476190476
90000,443.6818181818182
100000,470.3809523809524
110000,449.1818181818182
120000,466.3809523809524
130000,463.3181818181818
140000,464.1904761904762
150000,435.82608695652175
160000,408.24
170000,459.27272727272725
180000,448.1363636363636
190000,452.3181818181818
200000,443.77272727272725
210000,448.40909090909093
220000,454.1363636363636
230000,426.95652173913044
240000,480.0
250000,478.0
260000,390.04
270000,418.4166666666667
280000,471.7142857142857
290000,396.12
300000,353.0344827586207
