Timesteps,Reward
10000,2030.91722949408
20000,2830.222172120533
30000,5277.477143490436
40000,12361.35534992678
50000,6103.739882946465
60000,3451.763211522357
70000,10526.088465955892
80000,8455.167914544574
90000,6940.438719649204
100000,12156.203944041845
110000,7485.269871330185
120000,16063.238594305769
130000,11432.36655034973
140000,14503.459585695826
150000,11653.390237478503
160000,15623.254968432837
170000,14849.227467018563
180000,7903.585460971279
190000,11776.670783105406
200000,16365.355981324943
210000,22062.34568315995
220000,13885.523198648947
230000,13412.942057348746
240000,14451.380736074398
250000,11658.923715449411
260000,23375.06754089854
270000,24020.605217225806
280000,36092.870108904994
290000,28121.017331311672
300000,28591.98715897562
